Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2006-12-31,0.04460402297879562,0.09718158402077037,0.02795388776124974,0.43895063019402225,-0.39876619675078384,0.05153384808239658,0.0929692871877148,0.0929692871877148,0.12903225806451601,0.12903225806451601,0.02234900219027036,-0.38537232797657783,-2.1378522467631376,-2.549623254783187,0.09560715712017465,0.07729911396272526,-0.03106508875739633,-0.4024390243902439,0.0,0.224216959511077,0.0,0.0,-0.009584664536741228,-0.01851851851851849,-0.23749702310073828
2007-03-31,-0.07193211867786653,-0.17053875593238543,-0.08926561353789852,-0.25799769119865545,-0.8610922450691256,0.017801037047013413,0.029777975831607684,0.029777975831607684,0.0,0.0,-0.11557335231446497,0.12957954084828827,-224.68942436412317,-6.70801701843664,-0.49810488766864003,0.17186613726602396,0.012213740458015154,-0.8571428571428571,0.0,-0.05897035881435253,0.0,0.0,-0.01935483870967747,0.028301886792452935,0.11782618880299833
2007-06-30,0.03622011131023095,0.03375130827405859,0.00785885804047215,-0.024782710829222454,-8.429612128371726,0.04348720314103871,0.42674684994272627,0.42674684994272627,0.4285714285714286,0.4285714285714286,0.35785746993373224,0.2750168007464098,-1.0129027624838416,-1.1165863527603903,0.11570591288617771,0.11882865440464663,0.08144796380090491,-8.285714285714285,0.0,0.102785145888594,0.0,-0.3788659793814433,0.05756578947368407,0.01834862385321112,0.060072645990500106
2007-09-30,0.0374242699229379,0.08274206262977302,0.012888996752281612,0.0483681366948856,1.0309261958394065,0.012434384248161567,-0.10936266441866382,-0.10936266441866382,-0.09999999999999998,-0.12,0.032397222177615426,-0.7125256288230016,-1.7491496598639455,3.7364768667341215,0.49120325831386347,-0.08263032662773095,0.07810320781032076,1.0196078431372548,-0.4808016482487357,-0.15544197233914603,0.0,0.95850622406639,0.055987558320373276,0.02702702702702675,0.032749077490774825
2007-12-31,0.03494431489222771,-0.005876961309380202,0.01727294470329488,0.5507722404515991,0.39181900822492177,0.034615848467269617,-0.12342247596153844,-0.12342247596153844,-0.1333333333333333,-0.11363636363636365,0.01820871082553599,5.932790610740923,-3.405840470539676,-1.8034992863421966,-0.26467315257239044,0.035604810186276925,0.02199223803363526,0.3883495145631066,-0.48725348725348727,-0.04663581345674617,0.0,0.3432203389830508,0.004418262150220897,0.01754385964912286,-0.3589612709755631
2008-03-31,-0.31934583244642434,-0.2626100729823153,-0.015173597952266138,0.11969328360876008,-4.80907171842016,-0.016139782882027442,0.4773216785214385,0.4773216785214385,0.487179487179487,0.46153846153846145,0.2578527523865868,-0.6534058424996834,-30.676817499463866,-0.5502831611465733,-0.16187083868978958,-0.31557377049180335,0.20253164556962022,-4.797202797202797,-0.5070356472795498,-0.3319641523525019,7.050000000000001,0.0,0.11436950146627578,0.07758620689655182,-0.3413954414253011
2008-06-30,0.11873313836640875,0.26126960740780025,0.05042908882339647,-0.06695608538148012,-0.14193457611155136,0.024819346405596354,0.298944632864496,0.298944632864496,0.2931034482758621,0.2807017543859649,-0.5184562406084768,1.0446609805364453,-2.097643496672279,-2.9232918279794915,0.37145212887423984,0.07717897538256824,0.18736842105263163,-0.14364640883977886,0.0,-0.047512576858580235,0.0,0.0,0.11447368421052628,0.06400000000000006,0.3516699410609039
2008-09-30,-0.06553465337897735,-0.27641698200183373,-0.047645429136111916,-0.054160053392513396,0.01804077999350784,0.00747549734304398,-0.7264093365288715,-0.7264093365288715,-0.7333333333333334,-0.726027397260274,0.10855389864084075,-0.8763541503121943,-1.6651902100922213,-1.337518837488915,-0.28391227853025425,-0.20413835701050043,-0.039893617021276584,0.023655913978494425,0.0,-0.289906103286385,0.0,0.0,-0.12278630460448636,0.09774436090225547,-0.23490608228980314
2008-12-31,-0.09992701938124471,-0.2656267283106205,-0.09644541712001165,-0.28623263906353813,-0.0847110445748247,-0.0053660793910066396,1.3568638119593013,1.3568638119593013,1.4,1.4,-0.2493102349958014,1.5602559093572963,0.9283723544921179,6.038862650913135,-0.898580472311648,-0.4361660845944897,0.18374884579870754,-0.08403361344537807,0.0,-0.36446280991735536,0.0,0.0,0.04576043068640656,0.13013698630136994,0.02878854303667988
2009-03-31,0.09339932046934019,0.23409187105335416,0.0381946909516333,0.010675492608564596,-0.14477355259282976,-0.005375173483801232,0.44370775311195665,0.44370775311195665,0.45833333333333326,0.45833333333333326,1.4829828326771493,1.7211266638435214,-0.9768067533971254,-1.1893382858085022,1.677541745287804,-0.20922229869236053,0.052262090483619295,-0.14449541284403677,0.0,-0.24577373211963593,0.0,0.0,0.05534105534105538,0.0,0.2210227272727272
