Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
2003-03-31,0.0023795515745972384,0.0032626294012789714,0.0013678000201422513,-0.049754325116643905,-0.05821474773609314,-0.07386928161043671,-0.07692307692307698,-0.07692307692307698,0.44548168032212176,-0.516111264114569,-3.134187117532017,-2.5361913637775704,0.5821071218363743,-0.11753278290432245,-0.033509700176366786,-0.04214559386973182,-0.018979833926453193,-0.10373443983402486,-0.05329311211664167,0.0356234096692114,-0.0008192244675041538,-0.05402813299232745,0.0
2003-06-30,-0.004041805371190921,0.04212478842857115,-0.05703544483608425,0.06896888850265048,0.33436957779063037,-0.05336069779374042,-0.08333333333333326,-0.08333333333333326,-0.3044333883060548,-0.9199592607015546,0.46025599337846224,-1.3803842264914055,-0.13995535714285712,0.044028618602091285,-0.13412408759124095,-0.04200000000000004,-0.024183796856106277,0.06018518518518512,0.07753584705257577,0.03357903357903336,0.018584312653730395,-0.14700912470429195,0.0
2003-09-30,0.032296920135489904,0.057317916468155206,0.0005556083787727761,0.04625781210304347,0.3439074605840602,0.9058881497905888,0.8484848484848484,0.8484848484848484,0.43197848176927667,40.23465568862275,-1.7379704042591957,-0.014885699096225391,-0.16030798511982003,0.16447021613073276,0.05163329820864071,0.08141962421711901,0.06443618339529111,0.19650655021834074,0.3523903400689996,0.032488114104595844,0.05500402468473298,0.05110935023771779,0.0
2003-12-31,0.0718525624029327,-0.01660747021787823,0.19043810018038987,0.03698631467505842,-0.10504142393517302,0.07122543950361937,-0.47540983606557374,-0.4918032786885246,-0.12405559961597867,0.5125386870456257,2.065615141955836,-5.350782514840799,0.8306202349062435,0.08963331824354914,0.13627254509018027,0.07722007722007729,0.023282887077997527,0.021897810218977964,0.03826530612244894,0.03223330775134303,-0.032044760935910466,0.14775725593667555,0.0
2004-03-31,-0.05879365221575927,-0.1149548058721025,0.0033992379653995375,-0.08123448695733626,0.05488985990359918,0.002823699770725163,0.0,0.0,0.06962115796997859,-1.8817581758175819,-2.824664226849325,0.28553708757132235,0.5832958126969834,0.13003739094308253,0.12433862433862441,0.11111111111111116,0.0,0.10357142857142865,-0.005616005616005615,0.03122676579925643,0.06699947451392552,0.14778325123152714,0.0
2004-06-30,0.02147430132054251,0.04777654701164624,-0.004217185028993153,0.09270888553602741,-0.11211700651222378,-0.12634770889487867,-0.12499999999999989,-0.12903225806451601,-0.21987585018860079,-1.6375786859028887,-1.1205086333299006,-2.600057892705519,-0.5894710649793828,-0.07573529411764701,0.08156862745098037,0.011290322580645329,-0.010238907849829282,-0.0744336569579288,-0.1860218849276385,0.03028118240807487,-0.026348190100960456,0.08898426323319031,0.0
2004-09-30,0.03248397299734407,0.07638606305503703,-0.012637746644824532,0.03769148956020385,-0.17059445940746443,-0.19541623051071566,-0.2142857142857143,-0.18518518518518523,0.3824716363359477,-0.6145758840418832,-2.493204199560511,-0.9891455104625219,-0.015585765001298824,-0.007557677008751096,-0.06453952139231323,-0.09728867623604476,-0.01839080459770115,0.0034965034965035446,-0.09453599306157845,0.02939118264520646,-0.04653515427415267,-0.07829742511823434,0.0
2004-12-31,0.029530743396936288,-0.01946795176122762,-0.0012559570005354903,0.008577131246291225,0.33751812119454905,0.39852095316351677,0.36363636363636354,0.40909090909090917,0.10222515972681201,1.744558294101357,-1.769717119965117,-52.03333333333333,0.8079866303104934,0.10300601202404813,0.0,0.005300353356890497,-0.010538641686182681,0.12195121951219523,0.1872605363984674,0.028552005438477135,-0.03023872679045103,-0.016533637400228174,0.0
2005-03-31,-0.017566042272469162,-0.03134472602024707,-0.003960006819581197,-0.0337315029417008,-0.057943682122650664,-0.06543772032902473,-0.033333333333333326,-0.09677419354838701,-0.09446831900859487,-1.330242366758824,-4.822510975782468,-1.2991508817766166,-0.13369009973242518,-0.07521802325581395,-0.015503875968992276,-0.03690685413005268,-0.005917159763313529,-0.0652173913043479,-0.07503025413473174,0.027759418374091238,0.01285557986870911,-0.04579710144927529,0.0714285714285714
2005-06-30,0.04580738438906695,0.08888380522179307,0.0046682005713594155,0.09360123989815117,-0.00945740715173271,-0.010766208251473453,-0.0344827586206895,0.0,-0.06642662031288804,-4.773717498243148,-1.5605161027389012,-2.7016011644832605,0.060818779131802,0.019253438113949084,0.014173228346456623,-0.012773722627737238,-0.0035714285714286698,0.02657807308970095,0.04753597906672491,0.02700964630225089,-0.03834728598433701,-0.015188335358444771,0.0
