,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
45,-0.012136729881815134,-0.02786090320737933,0.006922262161914272,-0.06326619233724151,-0.3527344607950802,-0.3527344607950802,-0.3526410605030591,-0.6940546057667772,-0.38422443586094734,-1.9020300088261255,-22.44360902255639,-0.05849244950406729,0.17720139494333043,-0.07119476268412439,-0.0685714285714285,0.006143350788840651,0.1298701298701299,0.026584867075664764,0.019372693726937396,-0.060555088309503846,0.0
44,0.02887318787523796,0.05102865270200785,-0.011272808594170569,-0.10227151160717474,-0.6810315575161181,-0.6810315575161181,-0.6812861965944353,1.7964970809007506,3.4047540442390227,-2.1790606653620355,2.0725806451612905,-0.19768097633603288,0.007220885021292256,-0.1427312775330397,-0.14110429447852757,-0.011336559216890363,0.0,0.05644090305444882,-0.03914027149321264,-0.06356311548791405,-0.09090909090909083
43,-0.011581692741783445,-0.011645415213372257,-0.01154374560198368,0.19535253227408145,2.0638297872340425,2.0638297872340425,2.062602965403624,-0.511482254697286,-0.5441463049018138,-0.9576763485477179,-0.49709003765833615,-0.12391047629758756,-0.06268382352941182,-0.02672147995888996,-0.02857142857142858,-0.01178054610072543,-0.051724137931034475,0.0722815839094908,0.00023546032493526603,-0.043977055449330726,0.02499999999999991
42,0.014172474369312349,0.010651290753882492,0.018314490567316932,-0.07201010201708036,-0.6329861111111111,-0.6329861111111111,-0.6331360946745562,1.0982905982905984,-0.5730023018743835,28.41176470588235,-1.5014749262536873,0.07092653807888571,0.011963130025495206,-0.30939809926082373,-0.3112745098039216,0.018314490241283288,0.024242424242424176,0.03399765533411503,0.004001883239171278,-0.29700000000000004,-0.024390243902438935
41,-0.05086448324453641,-0.02165686118619814,-0.09061628729557658,-0.11938695122824605,-0.8893093661305582,-0.8893093661305582,-0.888475073313783,-0.17835321501309276,2.8679245283018866,-1.3133333333333335,-4.542986425339366,-0.23464892564955497,-0.16666666666666663,-0.345565749235474,-0.35943060498220647,-0.09315779864586637,-0.1775147928994083,0.20634920634920628,-0.04196951934349347,-0.3413940256045519,-0.025000000000000022
40,-0.025643327013190054,-0.0012807177220127697,-0.05920360218547227,-0.0735198438516591,-14.11111111111111,-14.11111111111111,-14.016039968445963,0.6437677053824362,-0.45973120955699354,-2.9680851063829787,-1.0015325670498085,0.0004698696111828937,-0.1969767441860465,-0.47663551401869153,-0.4833333333333333,-0.058085016778766985,-0.1151079136690647,0.2584586466165413,-0.03426333822809602,-0.48380129589632825,0.0
39,0.05797145949597371,0.020739082038496948,0.11409755053600268,-0.3158795646067416,-3.1479791395045633,-3.1479791395045633,-3.1444444444444444,-0.38496337785437307,-0.22351206928321354,-0.8367567567567568,-87.66666666666667,-0.040702907909670905,0.039426585577758466,0.1741071428571428,0.16129032258064524,0.1140940093724081,0.09756097560975618,1.0593726661687826,0.052965027876330284,0.35146443514644354,-0.15384615384615385
38,0.05936599841826107,0.028818498938198767,0.10081465505950571,0.9185218451273498,-0.01729893778452196,-0.01729893778452196,-0.016957136128120553,0.586339754816112,-0.6468913146654011,-5.562913907284768,-3.3153846153846156,0.09824160580963648,0.07574516457981573,0.7186311787072241,0.7314814814814816,0.10081387570758027,-0.029629629629629672,-0.07452402538531278,0.03898916967509014,0.7058823529411764,0.030303030303030276
37,0.017495976165199822,3.71913121095524e-05,0.03988958777850926,0.47866506153023014,-0.05620753551575042,-0.05620753551575042,-0.056214662194537635,-0.15654669905056307,-0.978494623655914,-0.7764876632801161,0.5112126245847175,0.135183327761061,0.05594405594405605,0.502212389380531,0.5294117647058822,-0.02006306956865611,-0.04580152671755733,-0.3942006269592476,0.022006022700949757,0.29945553539019953,0.17647058823529416
36,0.19925013210195242,0.2669121201978504,0.12285853762719112,-0.27547605047718127,0.18880890052356025,0.18880890052356025,0.1534868608098776,-0.1327225130890053,479.34375,-47.714285714285715,-2.343226161033251,-0.1599581124419137,0.09127790041697326,0.5007363770250368,0.513986013986014,0.12253128205591968,0.11999999999999988,-0.30692108667529117,-0.06368993653671795,0.516759776536313,0.0
