Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2006-09-30,0.030474258393772047,0.14504627391394442,0.04623669345982173,0.19606407912801416,-0.015154052397873485,-0.009423965412492796,-0.023279113625648273,-0.023279113625648273,0.0,0.011627906976744207,-0.20511195442987096,-0.3140447521084191,-0.5745524036277627,0.3495305010177949,0.3843746493273319,-0.01692942545762366,0.1390257252326219,0.00519031141868509,-0.003930376193149954,0.4380165289256197,-0.08662420382165603,-0.044303797468354444,-0.009389671361502372,0.022222222222222143,-0.04268153881174608
2006-12-31,0.053044876225988746,0.0447607307382023,0.07313893296333429,-0.0873827967695191,-0.06719558133277526,0.1723113678505206,0.4769504615941591,0.4769504615941591,0.49541284403669694,0.3793103448275861,-0.31102144003111476,6.6354914362874,-1.604322373992121,-1.329781367587907,-0.09156451801749066,0.06587019696480478,0.21432003844305614,0.03614457831325302,-0.06031567080045075,0.06896551724137945,0.0038354253835424235,-0.1140018921475876,0.021327014218009532,0.021739130434782483,0.14481036737605524
2007-03-31,-0.036698400552154564,-0.18120116403471898,-0.0432937298045204,-0.5650648163911984,0.029125318996358285,-0.057567305323287576,-0.25192523746297624,-0.25192523746297624,-0.24539877300613488,-0.22499999999999998,-1.6680826441615626,-0.6480607600591963,-0.5598879005726818,2.8186691585107955,-0.3848975605887106,0.12481066343532254,0.15512465373961226,-0.00830564784053145,0.03479304139172146,0.19713261648745517,0.034386939909690994,0.06833956219967963,-0.017788089713843713,0.0,0.8825942465468897
2007-06-30,0.043427300887626474,0.14326099554251148,0.011158761854737742,0.37594663684294605,0.152185253093845,0.06980121805981865,0.14376604226967404,0.14376604226967404,0.1382113821138211,0.11827956989247301,-3.497306660470225,0.0058975986459324226,-6.4130675526024365,-1.5373816729989054,0.33626414364462787,0.07074243648442402,0.028434395340870333,0.03015075376884413,0.1611594202898552,0.034431137724550975,0.03760913364674279,0.10394802598700648,0.011023622047243942,0.02127659574468077,-0.16910770928147845
2007-09-30,0.028158202126428833,0.11783502710745264,0.013951232009070003,0.4130259345916478,0.0835088833666413,0.04266224989742473,0.016663881395182267,0.016663881395182267,0.021428571428571352,0.028846153846153966,0.32491964134664175,-0.7758643354804785,1.7915814238952539,-0.022168963451168366,0.24606625695830742,-0.0203739414773203,0.008660892738174608,0.0373983739837398,0.0708936595107339,-0.15629522431259046,-0.06407766990291253,0.053870529651425914,0.006230529595015799,0.02083333333333326,-0.20890320010622754
2007-12-31,0.23253261359177624,0.12026875815731342,0.40010375228470063,0.2998220896454531,-0.2684515624074265,0.10808582051764293,0.4293060936949631,0.4293060936949631,0.5034965034965035,0.43925233644859807,-0.36704504826599926,57.22674486803519,-4.788772649823199,-0.5993872549019608,0.07911078413815464,0.0726634714138994,0.08454425363276097,0.0015673981191222097,-0.3995337995337995,0.0017152658662091813,0.022130013831258566,-0.4063573883161513,0.02786377708978316,-0.020408163265306145,-0.138139398262767
2008-03-31,-0.02984210937051368,-0.1578713272808142,-0.2557653698080188,-0.34033924236293744,1.3846445667324523,-0.12514622937121367,-0.4614815910099068,-0.4614815910099068,-0.5581395348837209,-0.4155844155844156,-1.6330478813003702,-0.8896255512376532,-0.8621291617302159,-4.715264606913429,-0.27237008530907725,-0.21830367828931618,-0.23112058465286245,-0.07981220657277,1.1218944099378878,0.30308219178082196,-0.2763870094722598,1.4573082489146167,-0.03840361445783125,-0.04166666666666663,0.2765957446808509
2008-06-30,0.01457243721864887,0.016351139206731258,0.0008367989293927014,-0.0404149795145794,0.045795795795795735,-0.07781299808377662,0.07678930990298372,0.07678930990298372,-0.05263157894736836,-0.011111111111111072,-2.9192651487388668,0.9417573191209754,-0.6966609378836239,-1.5106379475018938,0.1911445619745049,0.004287026640808378,-0.20079207920792075,-0.08673469387755106,0.04829857299670692,-0.5269382391590014,0.010752688172043001,0.030918727915194344,-0.02114330462020364,-0.0652173913043479,0.05915331807780322
2008-09-30,0.054393624656943196,0.306013385455814,0.08537852049603067,0.26698992764081075,0.027032270194510044,-0.05871234189096464,-0.2959909335599943,-0.2959909335599943,-0.30000000000000004,-0.3370786516853933,0.1734008550911128,-0.9423038962259717,3.3952708562178415,5.764906962494759,1.085573673778831,-0.04756580953348921,-0.23042616451932607,-0.15456238361266283,0.021291448516579603,-0.09166666666666667,-0.014801110083256241,-0.025992573550414177,-0.06640000000000001,-0.09302325581395343,0.030823520939109006
2008-12-31,-0.07882994658900888,-0.11701234187149256,-0.07726900558132821,-0.16216557095334938,-0.09085992023305989,-0.2318550050889885,-3.8071072118480362,-3.8071072118480362,-3.7936507936507935,-3.983050847457627,-0.5992698560937302,2.6005213424568265,-1.5339953962512332,-1.0313624727681827,-0.01632465695640306,-0.45075232099028917,-0.8699291693496458,-0.8480176211453745,-0.09090909090909094,-0.46177370030581044,-0.3835680751173709,-0.01319648093841641,-0.8286203941730934,-0.10256410256410264,0.053900164180668675
