Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2004-06-30,0.04371991118021756,,0.06088890641302647,,-0.0780249224694941,0.031019349348559322,-0.23579234972677598,-0.23579234972677598,-0.24,-0.23469387755102045,-0.2700769568960103,-0.7991156067614532,-0.009679095751591538,-2.010949175112821,0.2252088929907543,0.04771893025694807,0.0459634649381262,0.046511627906976605,-0.08139534883720934,-0.03960396039603964,-0.09103840682788056,0.028213166144200663,-0.11669658886894074,0.036742800397219444,0.0,
2004-09-30,0.04025242125313544,,0.03507340027267225,,0.07934709267427542,0.27968090098545284,1.4705041115480872,1.4705041115480872,1.4736842105263155,1.4666666666666668,0.55533003659481,-0.12015779957262618,-0.9538209248934076,1.2168770581778268,0.40749004600360506,-0.004004004004004136,0.20169014084507042,0.22777777777777786,0.07700421940928281,0.08247422680412386,-0.06572769953051638,0.024390243902439046,0.03760162601626016,0.1628352490421454,0.0588235294117645,
2004-12-31,0.01930479967077936,,0.012584916552020431,,0.0753181539659471,-0.1529950473376731,-0.3305354558610709,-0.3305354558610709,-0.3351063829787234,-0.33513513513513515,-0.24452218624404054,2.838242620500685,-56.46590909090909,-0.8982582969189062,0.029455790033270146,0.008040201005025116,-0.2550398499765587,-0.24434389140271495,0.033300685602350555,-0.06666666666666676,-0.19430485762144056,0.023809523809523725,0.05484818805093061,-0.24135090609555188,0.0,
2005-03-31,-0.024466559072803262,,-0.025635536671784198,,-0.02945180652750179,-0.04611386660498362,-0.3204172070903588,-0.3204172070903588,-0.3440000000000001,-0.3414634146341463,0.2518835048482211,1.786864499590327,0.5902479000204877,-14.5600843573833,-0.387994318485115,0.026420737786640114,-0.037759597230962894,-0.0479041916167664,-0.03270142180094793,0.0,0.3347193347193349,0.023255813953488413,-0.00464252553389044,-0.04234527687296419,0.0,
2005-06-30,0.023009624914114735,,0.014639409874918297,,0.08447313501737841,0.0672394238950711,0.29821073558648115,0.29821073558648115,0.29268292682926833,0.28395061728395055,-0.23970738521992563,-1.1322634731933374,-1.6720883792836898,-1.8078247111568382,0.5121380531711766,0.002428363283147217,0.021582733812949728,0.056603773584905426,0.08084272415482596,0.030612244897959107,0.0389408099688473,0.02556818181818188,0.05970149253731338,0.0487528344671202,0.0,
2005-09-30,0.02809417037669837,,0.04062699601219255,,-0.06068644282457569,0.09865490238264951,-1.3237978560490045,-1.3237978560490045,-1.320754716981132,-1.3269230769230769,0.5523518150590387,-5.883156898562845,0.3281976326256768,-1.5782367075532124,-0.19583993740344685,0.08817829457364335,-0.4468629961587708,-0.4464285714285714,-0.06346328195829554,0.00990099009900991,0.02398800599700146,0.02216066481994461,-0.08626760563380287,-0.4302702702702703,0.0,
2005-12-31,-0.014277684675028213,,-0.018811866058197402,,0.022705122218976248,-0.06762685124856327,-4.348846008323875,-4.348846008323875,-4.352941176470588,-4.264705882352941,-0.5108818290219036,-0.5135052912437578,1.1891180025617434,0.08502369061339476,-0.2642396477199723,0.06188780053428311,-0.0219907407407407,-0.02150537634408589,0.014520813165537216,0.12745098039215685,0.9121522693997073,0.02168021680216814,0.037572254335260125,-0.028462998102466663,0.0,
2006-03-31,0.004087966019623357,,0.005477341777568645,,-0.0034656579623054684,-0.020870077291129885,0.14687605920234992,0.14687605920234992,0.14035087719298267,0.144144144144144,1.6657129743874015,-0.09316620576886558,0.30265771148378584,-1.5510654494597513,0.19790865298008464,0.11111111111111094,0.17633136094674562,0.17582417582417564,-0.008110687022900853,0.09565217391304359,0.16156202143950993,0.023872679045092715,-0.007428040854224771,0.16796875,0.0,
2006-06-30,0.008439730252343791,,0.00842982429226491,,0.010729984381539603,-0.0026623603789452943,0.21022559353758252,0.21022559353758252,0.19999999999999996,0.20472440944881898,-0.8587978283813034,-0.9404965009960669,-0.8641749593537081,-0.6784211259008599,0.05312862682933739,0.07132075471698118,0.17806841046277655,0.16822429906542058,0.00962000962000964,0.08730158730158744,-0.0883322346736981,0.023316062176165886,0.00187090739008422,0.16722408026755864,0.0,
2006-09-30,0.08516426996065518,,0.08104828964314792,,0.11510510026449294,0.14227377117558082,-0.2385022385022385,-0.2385022385022385,-0.23717948717948723,-0.24183006535947715,3.5492406847297664,-12.590780324491373,-6.694224499301351,17.133732933732933,0.914817340935588,0.04402958788305744,0.36891545687446636,0.3839999999999999,0.10767031919961889,0.029197080291970767,-0.09978308026030369,0.022784810126582178,0.02801120448179284,0.40401146131805166,0.0,
