Unnamed: 0,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
57,2008-03-31,-0.17481417512259811,0.016984732824427473,0.022142536978933203,0.009992429977289996,-0.6093147433995847,-0.08819590587334991,-30.04545454545455,-30.04545454545455,-29.83928571428571,-29.83928571428571,-0.4680451127819549,1.8947368421052635,-0.8374816983894583,-1.1521951219512194,-0.05891238670694865,-0.2339214570290267,0.0,0.0,-0.6093614562265242,-0.20408163265306128,0.0,0.0,-0.5264507855081757,0.0,0.0,0.006933064414471168
58,2008-06-30,0.033489067464025364,0.3449052355038469,0.04937730222767933,0.2190076450307301,-0.05821311060491019,0.15379773394880414,-0.8366197183098592,-0.8366197183098592,-0.836532507739938,-0.836532507739938,2.494699646643109,-0.5290909090909091,-0.8468468468468469,-5.788461538461537,0.2997592295345104,-0.4167904903417534,0.0,0.0,-0.09467455621301768,0.4871794871794871,0.0,0.0,-0.08869329722410291,0.0,0.0,0.10327991987981976
59,2008-09-30,-0.07424686268127734,-0.2342681735733222,-0.030213121604680367,-0.16527299557304476,-0.3574307981725343,0.04000727404982718,-0.9521072796934866,-0.9521072796934866,-0.9507575757575758,-0.9507575757575758,-2.001011122345804,3.27027027027027,58.82352941176471,-2.4444444444444446,-0.3331275084902747,-0.09171974522292993,0.0,0.0,-0.3668300653594772,0.0,0.0,0.0,-0.3060921248142645,0.0,0.0,-0.0826052422557585
60,2008-12-31,0.7584967575591843,0.6224489795918366,0.9020123238677986,0.6237477902180317,-0.6344625679631953,0.17380660954712354,27.76,27.76,15.230769230769232,15.230769230769232,1.0090909090909093,-4.17631103074141,-0.4385447394296952,-2.9416126042632067,0.9699074074074074,0.19915848527349245,0.0,0.3530805687203791,-0.8387096774193549,0.8965517241379313,0.0,0.0,-0.7922912205567452,0.0,-0.16091954022988508,-0.0008658008658009031
61,2009-03-31,-0.01375127738037052,-0.09512578616352196,-0.005980969642048084,0.045817455997096745,-0.4061784897025171,-0.00431997616564872,-0.4478442280945758,-0.4478442280945758,-0.5450236966824644,-0.5450236966824644,-1.323278029160382,-1.0774267008255052,-1.3239929947460596,-0.9112171837708828,0.04371327849588713,-0.05497076023391823,0.0,-0.6732049036777583,-0.46399999999999997,4.872727272727271,0.0,0.0,-0.3969072164948454,0.0,-0.0547945205479452,-0.1346868036642732
62,2009-06-30,0.0019146300259038629,0.03003599354598485,-0.008569605251162349,-0.03279257395679713,0.8882466281310213,0.04727707959305817,-0.6763224181360201,-0.6763224181360201,-0.6770833333333333,-0.6770833333333333,0.297045101088647,-0.5147058823529411,0.5783783783783785,1.204301075268817,0.0923215492006304,-0.15965346534653468,0.0,-0.3172561629153268,0.8805970149253729,0.5681114551083593,0.0,0.0,0.8803418803418801,0.0,-0.043478260869565084,0.06494992846924164
63,2009-09-30,0.008385791366906536,0.06783949873478723,0.010413793103448254,-0.1394743923221814,-0.08163265306122447,0.08200000000000007,-0.3735408560311284,-0.3735408560311284,-0.3870967741935484,-0.3870967741935484,-1.0299760191846523,0.856060606060606,-3.791095890410959,0.3292682926829269,0.1123479694908267,0.13696612665684826,0.0,-0.06907378335949776,-0.08730158730158732,-0.3948667324777888,0.0,0.0,-0.08636363636363631,0.0,-0.045454545454545525,0.2408651262761956
64,2009-12-31,-0.02929569928432885,-0.1264951478221621,-0.014993288285213737,0.021159057744423608,-0.7277777777777779,0.0,0.0,0.0,0.0,0.0,-23.8,1.5755102040816324,-1.665030674846626,-2.106422018348624,-0.14621942179392144,0.22150259067357506,0.0,0.0,-0.7304347826086957,0.33768352365415977,0.0,0.0,-0.7213930348258706,0.0,0.0,-0.144635704232976
65,2010-03-31,0.01837433105950992,0.08009301123885804,0.022474245853928883,0.14565683372460958,-0.7061224489795919,-0.09585423818325857,0.5900621118012421,0.5900621118012421,0.631578947368421,0.631578947368421,0.6947368421052631,-0.5356576862123613,-0.3228782287822878,-1.5074626865671643,0.06642066420664205,0.3690349946977731,0.0,0.0,-0.7096774193548387,4.079268292682927,0.0,0.0,-0.7142857142857142,0.0,0.0,-0.05720794836096699
66,2010-06-30,-0.011953359345046157,-0.05896423872742496,-0.014841755709670834,0.059515324305060575,1.7638888888888888,0.19275700934579448,-2.82421875,-2.82421875,-2.806451612903226,-2.7741935483870965,0.07039337474120089,-0.10580204778157001,2.4087193460490464,-2.5653594771241828,-0.09749643802157536,0.0007745933384972759,0.0,0.0,1.7777777777777777,2.4468187274909967,0.0,0.0,1.8125,0.0,0.0,-0.11182709088468257
