Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
31,2003-12-31,0.06854493411870455,0.07095754945730692,0.02600493653032432,-0.035172832019405686,0.3236151603498543,0.3236151603498543,0.3305785123966942,0.3583333333333334,-0.3398184176394293,0.014065639651708041,20.43478260869565,-1.5074626865671643,-0.06854838709677424,0.061541374739632726,-0.6891385767790262,-0.7333333333333334,-0.003740648379052303,0.07692307692307687,0.0,0.03883495145631066,-0.040968342644320255,0.0,0.0
32,2004-03-31,0.05052401340695045,0.04440886216587159,0.1630724289028267,0.20092185208464275,0.25110132158590304,0.25110132158590304,0.21739130434782594,0.18404907975460127,-0.9027504911591356,-1.2549537648612945,-1.6227180527383367,-6.1764705882352935,0.3809523809523809,0.11933642525865128,-19.783132530120486,-22.25,0.16045056320400494,0.12142857142857146,0.0,0.03738317757009346,0.10873786407766994,0.4785373608903021,0.0
33,2004-06-30,0.012467125227594522,0.01886227411085839,-0.0932259732584768,-0.05024424284717377,-0.2376760563380281,-0.2376760563380281,-0.2448979591836735,-0.2435233160621761,4.373737373737374,-1.494818652849741,-0.07491856677524432,-0.6761363636363636,0.08934169278996862,0.03442231075697212,-0.05452212957023739,-0.07058823529411762,-0.09685073339085426,-0.10828025477707016,-0.04117647058823527,0.03603603603603611,-0.1050788091068301,-0.07526881720430112,0.0
34,2004-09-30,0.02608836825936001,0.021461129122120504,0.1120162932790223,-0.005143277002204294,0.14087759815242484,0.14087759815242484,0.1351351351351351,0.1369863013698629,0.8308270676691729,7.5497382198952865,-3.75,1.1754385964912282,0.17841726618705045,-0.022646741642273868,0.03527815468113982,0.03797468354430378,0.10986386434201112,0.08571428571428585,0.0429447852760736,0.034782608695652195,0.08414872798434447,0.060465116279069926,0.0
35,2004-12-31,0.053738706392577384,0.05436374490527784,0.04307692307692301,0.1264771048744462,0.2550607287449393,0.2550607287449393,0.2619047619047621,0.2469879518072289,0.05646817248459968,-0.4102878138395592,-0.6325224071702945,1.653225806451613,0.4017094017094016,-0.03373266078184112,0.032110091743119185,0.04878048780487787,0.03615235635894122,-0.13157894736842102,-0.09999999999999998,0.034813925570228,-0.010830324909747224,0.021929824561403462,0.0
36,2005-03-31,0.0064873813694728,0.006973608638802142,-0.0018963337547408528,-0.01802983117521717,0.0741935483870968,0.0741935483870968,0.06603773584905648,0.06763285024154597,-0.3527696793002916,-0.01661474558670817,0.975609756097561,-0.11550151975683888,0.2534843205574913,0.14045676998368672,0.033650793650793716,0.023255813953488413,-0.0049844236760124856,0.0984848484848484,0.06971677559912859,0.0336426914153134,-0.007299270072992803,0.03433476394849788,0.0
37,2005-06-30,0.02663147425598656,0.022584129218596427,0.0970375061572022,0.011016524787180735,-0.09609609609609616,-0.09609609609609616,-0.10176991150442484,-0.1040723981900452,0.14564564564564564,0.005279831045406525,-1.3403880070546736,-2.4158075601374573,-0.2863099374565671,0.02117007581175812,0.014742014742014753,0.045454545454545414,0.08662074723439805,0.027586206896551783,-0.01731160896130346,0.032547699214365844,0.06801470588235302,0.04875518672199175,0.0
38,2005-09-30,0.045021648247647095,0.0489058198044241,-0.017960230917254627,0.20488690771008744,-0.10465116279069764,-0.10465116279069764,-0.1133004926108373,-0.11111111111111104,0.9895150720838796,0.8655462184873951,-4.632124352331606,-2.101941747572816,0.4420642648490749,0.08516598963440257,-0.009685230024213176,-0.010869565217391242,-0.020937379946215917,0.0,0.013471502590673534,0.03152173913043499,-0.06024096385542167,-0.05637982195845692,0.11111111111111116
39,2005-12-31,0.01815556308273769,0.01914729120702985,0.0009797517962115698,0.060153466703206426,-0.13358070500927646,-0.13358070500927646,-0.13888888888888884,-0.1477272727272727,-0.4828722002635046,-0.3327702702702703,-0.7075606276747504,-1.4581497797356828,-0.14044564483457125,0.05047115012262804,-0.08007334963325186,-0.08791208791208792,-0.0058858151854030965,0.0738255033557047,0.03783231083844596,0.03161222339304515,-0.016483516483516536,-0.11949685534591192,0.0
40,2006-03-31,0.03438192725095157,0.036017200035525,0.0055464926590538255,-0.1543233811554866,0.5588865096359743,0.5588865096359743,0.5096774193548386,0.5599999999999998,0.7426751592356688,0.05147679324894505,-1.078048780487805,-1.5817307692307692,0.09505106048703847,0.03256328336200553,0.0073089700996678,0.0,0.0033550424314190428,0.03749999999999987,0.1113300492610836,0.04085801838610825,-0.027932960893854664,0.005952380952380931,0.0
