Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
25,2001-03-31,0.009089883859141556,-0.00290269500037843,0.05060411861298708,0.0444819262692111,0.15126431568205012,0.15126431568205012,0.13888888888888884,0.14285714285714302,-0.7780140233979083,0.21614444411876788,-1.8839190085173665,-4.390139987827148,-0.16903374605486765,-0.0441176470588236,0.008119079837618505,0.07094594594594583,0.04761904761904767,-0.05628517823639767,-0.07839144820565025,0.041499330655957234,0.007469654528478031,0.03571428571428559
26,2001-06-30,-0.1217236028673614,-0.17278540896371694,0.046032786187351286,0.04127231710111201,0.024111100167438115,0.024111100167438115,0.024390243902439046,0.024999999999999908,0.6948825418773135,-1.3752988585531392,-2.6462243543773747,-0.7496708557749849,-0.0509215299588538,0.07928994082840246,-0.0060402684563757286,0.0851735015772872,0.045454545454545414,0.029821073558647937,0.03507318420325856,0.1906598114824336,0.004633920296570837,0.10344827586206916
27,2001-09-30,0.056009263712218926,0.06613862139456095,0.029692184144449293,-0.01157949078168441,0.012310296408855724,0.012310296408855724,-0.3333333333333333,-0.3414634146341463,-0.1430647381749579,-4.527678594364099,-1.9443807425581447,-4.535261773846521,0.1896797198671165,0.026315789473684292,0.005401755570560329,0.08430232558139528,0.027173913043478267,-0.01737451737451734,-0.00773745997865527,-0.0248290752069088,0.006457564575645725,0.0625
28,2001-12-31,0.017981806076206697,-0.024655584789583185,0.13267896680008562,0.06328062623482089,0.0038951908643523048,0.0038951908643523048,0.0,0.03703703703703698,0.5291008439195153,-1.008133751793139,-1.5996065893630669,1.930551798755748,0.4672402453881898,0.01923076923076916,-0.0208193418401611,0.056300268096514776,0.11640211640211627,-0.007858546168958758,-0.016402258671685876,0.11254612546125453,0.00916590284142993,0.0588235294117645
29,2002-03-31,0.030858611840649086,0.021441506680984768,0.052672376943045496,0.2721606648199446,0.23240716205473744,0.23240716205473744,0.2142857142857142,0.1785714285714286,-0.6980277963331669,3.090420769919427,-0.5305243611283048,-0.9398435516994716,0.01915672212098052,0.13312368972746347,0.003429355281207025,0.07614213197969555,0.047393364928910005,0.013861386138613874,0.08447238928376177,0.021227197346600283,-0.02270663033605813,0.08333333333333348
30,2002-06-30,0.016457185017932252,0.0068546633859372106,0.03804053142144115,0.000788064463040028,0.02352832767650081,0.02352832767650081,0.02941176470588225,0.03030303030303028,2.3195739014647137,-30.6304442985336,-4.1234060987324135,18.03874184886843,0.357864378672627,-0.06105457909343204,0.0034176349965824304,0.03537735849056611,0.03167420814479627,-0.103515625,-0.11267960675573475,0.021435531016563703,-0.010223048327137607,0.0512820512820511
31,2002-09-30,0.01596981479067372,0.01919228406097484,0.008944355105439117,0.005132616306097404,-0.007412409032935718,-0.007412409032935718,-0.02857142857142847,0.0,-0.41253574524798464,-0.3517578103359765,-0.3103943171059693,-0.4028287061288632,0.15738415220173207,-0.17142857142857149,0.002043596730245234,0.036446469248291535,0.013157894736842255,-0.19607843137254896,-0.21676136363636367,-0.006995230524642238,-0.017840375586854473,0.048780487804878085
32,2002-12-31,0.13640964582247506,0.1833710335822216,0.032986963807822844,0.05221088863439016,0.03139786246617593,0.03139786246617593,0.0588235294117645,0.0588235294117645,2.1374639325125,1.361753646308113,0.2147554171986219,-0.6872469635627529,0.04252898347930212,-0.1426872770511296,0.027872195785180187,0.008791208791208982,0.03030303030303028,-0.1544715447154471,-0.1889735219441422,-0.09093820044828704,-0.009560229445506718,0.023255813953488413
33,2003-03-31,0.00863170466732055,-0.01046901390490118,0.05682101080666136,0.057765365300114675,0.08735416544527164,0.08735416544527164,0.08333333333333348,0.05555555555555558,-0.5013759793322288,-0.37834923468464665,-0.4920276136110051,-5.862783171521037,-0.19837263849955333,0.09986130374479883,0.0,-0.008714596949891185,0.050420168067226934,0.06730769230769229,0.03533094812164572,0.04755195491370201,0.004826254826254761,0.0
34,2003-06-30,0.02007458253275729,0.00880694438873997,0.046691748825665284,0.04398174977173075,0.057286892758936725,0.057286892758936725,0.0512820512820511,0.05263157894736836,-0.7235026609973813,-1.4173677511486402,-1.5362780942663603,-3.41776476329917,0.5983058942364172,0.036569987389659664,0.005952380952380931,0.0,0.04400000000000004,-0.012012012012012073,0.0,0.026227303295225383,0.0019212295869357465,0.0
35,2003-09-30,0.08242923552814553,0.10122840866948946,0.039627937804971536,0.07776311068689368,0.02516637344144424,0.02516637344144424,0.024390243902439046,0.024999999999999908,4.657916847009701,-5.554577235621176,-5.708664746452447,-1.8207050317466145,-0.30722070142779123,0.15815085158150846,0.005259697567389754,-0.00879120879120876,0.03831417624521083,0.10942249240121572,0.11144708423326133,-0.03964613368283088,-0.007670182166826578,0.0
36,2003-12-31,0.006060481817927066,-0.010757569301086513,0.04662004994716496,-0.005711938416083418,0.01942496144854,0.01942496144854,-0.02380952380952384,0.024390243902439046,-0.4845517626200354,-0.8955095608363971,-1.3495931309276614,-1.0119176719174483,0.005285024441998631,-0.031512605042016695,-0.0019620667102681066,0.01552106430155198,0.04428044280442811,-0.06849315068493156,-0.07539836766420528,0.04025929716820187,0.002898550724637739,0.0
37,2004-03-31,0.09906150044876916,0.12029474507948867,0.05066123952635858,0.1844271356466478,0.13204186693341802,0.13204186693341802,0.1707317073170731,0.11904761904761907,0.12762558273532032,7.141894267963897,-5.706135422352072,4.232645403377112,0.027509271679949432,0.026030368763557462,0.013106159895150515,0.006550218340611425,0.0459363957597172,-0.01764705882352946,-0.012189995796553109,-0.04394883568383079,-0.01541425818882469,0.02272727272727271
38,2004-06-30,0.009876877044282306,-0.004874706478905755,0.04573103853191318,0.009109527669923569,0.024095346882475832,0.024095346882475832,0.02083333333333326,0.021276595744680767,0.4541168273139009,-1.043032890143035,-1.618660544950949,3.3718178558623166,0.11704568362243585,-0.007399577167019111,0.0032341526520052177,0.002169197396963085,0.04391891891891887,-0.050898203592814384,-0.06000000000000005,0.035334476843911014,-0.012720156555772966,0.022222222222222143
39,2004-09-30,0.0302691325010922,0.025516507950989142,0.04126152434329389,0.012762943700978857,-0.028168865879579893,-0.028168865879579893,-0.04081632653061229,-0.02083333333333337,-0.3968832026237747,2.446414631426341,-1.2329174224922672,7.9120807020421555,0.933820875513466,-0.051118210862619806,-0.010960670535138495,-0.002164502164502036,0.042071197411003285,-0.09148264984227128,-0.09370755998189227,0.010934393638170949,-0.01189296333002976,0.0
40,2004-12-31,0.016224734993126155,0.01501876822726378,0.018971850170621973,-0.07300118777489473,0.05517719284948619,0.05517719284948619,0.06382978723404252,0.042553191489361764,0.0,0.0,0.0,-0.5310633598674827,0.1467908865889589,0.04264870931537579,0.003911342894393766,0.0065075921908892545,0.031055900621117963,0.003472222222222321,0.00899100899100902,0.002622091117666425,0.01604814443330005,0.0
