,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
20,1998-10-31,0.155414250981859,0.04855735397607308,0.18696510862409488,-0.2078337330135891,-0.026582278481012692,0.1963713980789754,1.88,1.88,1.9452054794520544,1.9722222222222223,-0.509915014164306,47.6,-1.918406072106262,-1.9293478260869563,0.6356877323420074,-0.24318030605455754,0.4032137518684604,0.2898550724637683,-0.013651877133105785,-0.2421875,-0.32111000991080285,-0.15782312925170072,0.34191176470588225,0.014388489208633002,0.3236200369750859
21,1999-01-31,-0.05794755584331501,0.04855735397607308,-0.07561471621371785,-0.2078337330135891,0.06631989596879073,-0.1418376449598573,-0.5763888888888888,-0.5763888888888888,-0.5720930232558139,-0.5747663551401869,-2.895953757225433,-1.9773662551440332,-1.2272727272727273,-0.7836257309941521,0.084090909090909,0.22021978021978028,0.07376830892143804,0.035580524344569264,0.06747404844290661,0.2371134020618557,-0.027737226277372184,0.13247172859450718,0.07671232876712343,-0.014184397163120588,0.3236200369750859
22,1999-04-30,0.09982817869415817,0.04855735397607308,0.10319999999999996,-0.2078337330135891,0.0792682926829269,0.18866943866943875,0.5737704918032787,0.5737704918032787,0.5652173913043477,0.5604395604395602,-1.554878048780488,-2.191578947368421,-2.254545454545455,-7.648648648648647,-0.6205450733752621,0.5421469740634006,0.07217261904761907,0.06871609403254975,0.09400324149108584,0.4458333333333335,0.3798798798798797,-0.01854493580599137,0.07379134860050884,0.007194244604316501,0.3236200369750859
23,1999-07-31,-0.04811748164349317,0.04855735397607308,-0.08212472806381432,-0.2078337330135891,0.16384180790960445,-0.17883690424136425,1.65625,1.65625,1.7361111111111112,1.7183098591549295,-0.6868131868131868,-1.3462897526501767,-2.4275362318840576,-1.227642276422764,0.30939226519337026,0.13594954449894892,0.4749016886421464,0.5363790186125212,0.1955555555555557,0.03746397694524495,0.019586507072905324,0.22383720930232556,0.5805687203791468,-0.02857142857142847,0.3236200369750859
24,1999-10-31,0.13704250779583127,0.04855735397607308,0.11337151886233456,-0.2078337330135891,0.2533980582524271,0.36208732694355694,-2.3705882352941177,-0.4823529411764706,0.0,0.0,5.859649122807018,-3.8367346938775517,-1.868020304568528,-0.8928571428571429,0.025316455696202445,-0.0958256220440058,-0.14899623588456712,-0.8909691629955947,0.2825278810408922,-0.2444444444444445,-0.4364994663820704,0.10332541567695963,-0.0569715142428785,0.007352941176470562,0.3236200369750859
25,2000-01-31,-0.06986143187066972,0.04855735397607308,-0.0904736562001064,-0.2078337330135891,0.020139426800929616,-0.1532447224394058,-1.200286123032904,-0.4696969696969697,-0.7157360406091371,-0.7150259067357513,-1.2250639386189257,-1.537769784172662,-0.95906432748538,35.333333333333336,0.8971193415637859,-0.050488969752103714,-0.09546627349797264,0.1212121212121211,0.02512077294685988,-0.2573529411764707,-0.04924242424242442,0.0968783638320776,-0.011128775834658213,0.0,0.3236200369750859
26,2000-04-30,0.03134698944754821,0.08422818791946307,0.04193485469085245,0.08678102926337039,-0.00987091875474566,0.10249307479224368,0.3999999999999999,0.3999999999999999,0.4375,0.4363636363636363,-2.6022727272727275,-0.8361204013377926,-25.42857142857143,-0.9128440366972476,0.04121475054229928,-0.12790419161676658,-0.08170334148329261,0.018018018018017837,0.03440150801131004,-0.14851485148514856,-0.14741035856573692,-0.04023552502453387,-0.008038585209003246,0.007299270072992582,-0.002327901563019652
27,2000-07-31,0.008125188083057509,-0.0934695140823274,-0.007675028079371038,-0.18337975858867228,0.0728527607361964,-0.19430485762144056,-0.020408163265306145,-0.020408163265306145,0.006211180124223503,0.012658227848101332,0.8865248226950355,-10.653061224489797,-2.514619883040936,1.7368421052631582,0.1083333333333334,-0.08514144465806084,-0.3361437763479032,-2.1327433628318584,0.07334851936218678,-0.11627906976744184,-0.10046728971962617,0.0644171779141105,-0.29011345218800644,-0.021739130434782483,0.11013333333333343
28,2000-10-31,0.03656716417910455,-0.15773301468077838,0.06225240520656473,0.3695281409891984,-0.0607576840600429,0.025467775467775452,-2.09375,-2.09375,-2.08641975308642,-2.1,0.3796992481203008,0.44186046511627897,-0.6911196911196911,-5.519230769230768,-0.4417293233082705,0.05343740618432902,-0.6002673796791445,-2.859375,-0.06112054329371808,-0.019736842105263164,0.4233766233766234,-0.09414024975984636,-0.5707762557077625,-0.06666666666666676,-0.3849987989430699
29,2001-01-31,-0.04420446364290853,-0.07377381434941221,-0.04848161960575381,-0.14985471149854712,-0.02587519025875196,-0.2361885453623923,-0.6666666666666667,-0.6666666666666667,-0.6704545454545454,-0.6704545454545454,-1.103542234332425,-1.4662756598240467,-2.825,-1.5702127659574467,0.4511784511784511,-0.2339697919635225,-0.6580267558528428,-0.6638655462184875,-0.028481012658228,-0.18120805369127516,0.9470802919708028,0.01908801696712636,-0.6329787234042553,-0.07936507936507943,0.08944439019626982
30,2001-04-30,0.011599879481771548,-0.004376367614879696,0.014557670772676444,0.076171875,-0.0007812499999999557,0.190444591904446,-1.0857142857142856,-1.0857142857142856,-1.0862068965517242,-1.0862068965517242,-4.657894736842105,-1.4842767295597483,-1.0821917808219177,-1.0223880597014925,-0.00696055684454755,-0.02418154761904756,-1.7628361858190709,-1.7625000000000002,-0.0009306654257794644,0.0,1.9268978444236176,-0.011966701352757571,0.0,-0.0775862068965516,-0.07484090705386748
31,2001-07-31,-0.003871928518242696,-0.05626373626373626,-0.004782928623988214,-0.07350272232304901,0.0,-0.1159420289855072,-0.33333333333333337,-0.33333333333333337,-0.4,-0.4,-0.9712230215827338,0.4805194805194806,14.666666666666664,11.0,-0.08411214953271029,0.14029736942432325,2.368589743589744,2.278688524590164,0.0,0.139344262295082,0.0,0.0036861506055818616,0.0,-0.046728971962616835,0.01860104630885484
