,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
41,2004-03-31,-0.03067053958726373,-0.034754615847417236,0.02065263640231718,0.10179407176287047,-0.016962220508866643,-0.016962220508866643,-0.016949152542372947,0.0,-5.3062605752961085,4.873469387755101,-6.5393978219090325,-2.046920821114369,-0.111849113352967,0.06041300527240767,0.06281588447653408,0.04854368932038833,0.02092352092352101,0.0,-0.027908662558898126,0.040511727078891065,0.052917232021709726,0.05638903259182615,0.0
42,2004-06-30,0.07716488007386957,0.0820469232741059,0.01914443304258584,0.011681415929203576,0.025882352941176467,0.025882352941176467,0.034482758620689724,0.035087719298245716,-0.5622789783889981,-7.048413249942089,-4.533132878454955,-4.1114845938375355,0.3918442218145901,-0.09073958980733376,0.11480978260869555,0.12037037037037025,0.02190812720848068,-0.1091954022988505,-0.1607009694258016,0.04098360655737698,-0.05412371134020609,0.12977473065621936,0.0
43,2004-09-30,-0.050123269091690514,-0.055277647551694176,0.014914571599383253,-0.04408677396780969,-0.12308868501529048,-0.12308868501529048,-0.1333333333333333,-0.11864406779661008,1.0619389587073609,-1.8771399027229905,-1.724886255769042,-0.4501260352898812,0.15480535279805352,-0.06789701526543646,-0.025594149908592437,0.0,0.017289073305670755,-0.08709677419354844,-0.18880497556641496,0.03740157480314954,0.06948228882833772,-0.0078023407022106426,0.0
44,2004-12-31,0.10135490148382398,0.10813393340284284,0.021733064641140887,0.07796486090775989,0.1560592850915432,0.1560592850915432,0.15384615384615374,0.13461538461538458,-0.7457553330430997,-2.568790114832118,-2.4941298654384543,-1.7390307793058284,-0.09906944078658586,0.07528721583964804,-0.0131332082551594,-0.016528925619834656,0.024473147518694786,0.05653710247349819,0.07064622124863074,0.039848197343453684,-0.07261146496815285,-0.027959807776321455,0.0
45,2005-03-31,0.0548759074755889,0.05761640357208364,0.019966015293118037,0.030220713073005,0.0490196078431373,0.0490196078431373,0.06666666666666665,0.06779661016949158,2.970890410958904,-1.1310882271082658,-1.1443682190456044,-1.9977846699158173,0.10971985383678452,0.030461468515571744,0.003802281368821436,-0.01680672268907568,0.019907100199070937,0.006688963210702115,0.021483375959079117,0.0383211678832116,-0.03296703296703296,0.0044943820224718775,0.0
46,2005-06-30,-0.031525523802744086,-0.035824405009921234,0.02525733325400137,0.10860250494396828,0.07836089144500358,0.07836089144500358,0.078125,0.07936507936507953,-0.8840017248814144,2.4467091295116767,3.184006698764916,-2.5470692717584367,-0.15296132063046053,-0.006176924773880432,0.016414141414141437,0.01709401709401703,0.026675341574495803,-0.02657807308970084,-0.032048072108162295,0.03690685413005279,0.058238636363636236,-0.00626398210290835,0.0
47,2005-09-30,0.046952152820415316,0.04880014389396692,0.023996750137828867,-0.00386502155492785,-0.01533333333333331,-0.01533333333333331,-0.014492753623188246,-0.014705882352941237,2.1115241635687734,-1.2439940864851546,-1.4310301696102463,-2.576061997703789,0.2846109988078578,0.07880133185349614,0.03788819875776395,0.016806722689075567,0.024714828897338448,0.05119453924914663,0.03879979306777037,0.035593220338983045,-0.02147651006711393,0.009905447996398031,0.0
48,2005-12-31,0.10296650243457206,0.1094604707517417,0.02034570699914995,0.008207730189524032,-0.0006770480704130223,-0.0006770480704130223,-0.014705882352941237,-0.0149253731343284,1.8984468339307048,13.567028528149455,6.017063261752758,-0.057002367510471726,0.2089251129761136,0.06378600823045266,0.003590664272890453,-0.016528925619834656,0.021645021645021467,0.038961038961039085,0.0019920318725101804,0.03764320785597364,-0.07544581618655699,-0.007579135086937193,0.0
49,2006-03-31,-0.060261580340660974,-0.06667737337642787,0.028493668073761306,0.07711663706335115,0.10433604336043367,0.10433604336043367,0.11940298507462675,0.1212121212121211,-0.4435284418796373,-1.5270363951473138,-1.5583272679150402,-1.3491695635380456,-0.060343101261598024,-0.0017408123791102792,0.01610017889087656,0.033613445378151134,0.02784503631961255,-0.025000000000000026,-0.028330019880715707,0.0362776025236593,0.09495548961424327,-0.004941599281221842,0.2
50,2006-06-30,0.06237473851977283,0.06508487554741071,0.028352324890640986,0.06664834409784247,0.030061349693251582,0.030061349693251582,0.026666666666666616,0.027027027027026973,-0.6496296296296296,-1.6083196317000987,-1.9668760369755869,-9.524889380530976,0.5474532926049585,0.08467351288509972,0.004107981220657253,-0.008130081300812941,0.02944640753828032,0.05769230769230771,0.04143222506393851,0.03500761035007605,-0.03252032520325199,-0.007674943566591486,0.0
